[2025-04-29T20:51:13.946+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:51:13.962+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:51:13.980+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:51:12.528007+00:00
[2025-04-29T20:51:13.985+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=92) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:51:14.157+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-18 00:00:00: missing
[2025-04-29T20:51:14.157+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-18 00:00:00
[2025-04-29T20:51:14.160+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-11 00:00:00: missing
[2025-04-29T20:51:14.160+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-11 00:00:00
[2025-04-29T20:51:14.162+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-04 00:00:00: missing
[2025-04-29T20:51:14.162+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-04 00:00:00
[2025-04-29T20:51:14.163+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-25 00:00:00: missing
[2025-04-29T20:51:14.164+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-25 00:00:00
[2025-04-29T20:51:14.165+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-18 00:00:00: missing
[2025-04-29T20:51:14.165+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-18 00:00:00
[2025-04-29T20:51:14.166+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-11 00:00:00: missing
[2025-04-29T20:51:14.167+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-11 00:00:00
[2025-04-29T20:51:14.168+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-29 00:00:00: missing
[2025-04-29T20:51:14.168+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-04-29 00:00:00
[2025-04-29T20:51:14.169+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-22 00:00:00: exists
[2025-04-29T20:51:14.170+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-15 00:00:00: exists
[2025-04-29T20:51:14.172+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-08 00:00:00: exists
[2025-04-29T20:51:14.173+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-01 00:00:00: exists
[2025-04-29T20:51:14.174+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-25 00:00:00: missing
[2025-04-29T20:51:14.174+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-25 00:00:00
[2025-04-29T20:51:14.176+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-18 00:00:00: missing
[2025-04-29T20:51:14.176+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-18 00:00:00
[2025-04-29T20:51:14.177+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-11 00:00:00: missing
[2025-04-29T20:51:14.177+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-11 00:00:00
[2025-04-29T20:51:14.178+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-04 00:00:00: missing
[2025-04-29T20:51:14.179+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-04 00:00:00
[2025-04-29T20:51:14.180+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-02-25 00:00:00: missing
[2025-04-29T20:51:14.180+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-02-25 00:00:00
[2025-04-29T20:51:14.181+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-02-18 00:00:00: missing
[2025-04-29T20:51:14.182+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-02-18 00:00:00
[2025-04-29T20:51:14.183+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-02-11 00:00:00: missing
[2025-04-29T20:51:14.183+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-02-11 00:00:00
[2025-04-29T20:51:14.184+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-29 00:00:00: missing
[2025-04-29T20:51:14.185+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-04-29 00:00:00
[2025-04-29T20:51:14.186+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-22 00:00:00: exists
[2025-04-29T20:51:14.188+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-15 00:00:00: exists
[2025-04-29T20:51:14.189+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-08 00:00:00: exists
[2025-04-29T20:51:14.190+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-01 00:00:00: exists
[2025-04-29T20:51:14.191+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-25 00:00:00: missing
[2025-04-29T20:51:14.191+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-25 00:00:00
[2025-04-29T20:51:14.192+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-18 00:00:00: missing
[2025-04-29T20:51:14.193+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-18 00:00:00
[2025-04-29T20:51:14.194+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-11 00:00:00: missing
[2025-04-29T20:51:14.194+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-11 00:00:00
[2025-04-29T20:51:14.195+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-04 00:00:00: missing
[2025-04-29T20:51:14.196+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-04 00:00:00
[2025-04-29T20:51:14.197+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-02-25 00:00:00: missing
[2025-04-29T20:51:14.197+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-02-25 00:00:00
