[2025-04-29T20:43:48.340+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:43:48.357+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:45.954625+00:00 [queued]>
[2025-04-29T20:43:48.364+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:45.954625+00:00 [queued]>
[2025-04-29T20:43:48.364+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:43:48.377+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:43:45.954625+00:00
[2025-04-29T20:43:48.383+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=665) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:43:48.384+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'portfolio_news_pipeline', 'check_historical_news', 'manual__2025-04-29T20:43:45.954625+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/news_pipeline.py', '--cfg-path', '/tmp/tmp517vosxj']
[2025-04-29T20:43:48.798+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-01 00:00:00: exists
[2025-04-29T20:43:48.801+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:48.801+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-25 00:00:00
[2025-04-29T20:43:48.805+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:48.805+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-18 00:00:00
[2025-04-29T20:43:48.808+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:48.809+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-11 00:00:00
[2025-04-29T20:43:48.811+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:48.812+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-04 00:00:00
[2025-04-29T20:43:48.814+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:48.815+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-02-25 00:00:00
[2025-04-29T20:43:48.818+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:48.819+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-02-18 00:00:00
[2025-04-29T20:43:48.822+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:48.823+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-02-11 00:00:00
[2025-04-29T20:43:48.828+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:48.829+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-04-29 00:00:00
[2025-04-29T20:43:48.833+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:48.834+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-04-22 00:00:00
[2025-04-29T20:43:48.839+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:48.840+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-04-15 00:00:00
[2025-04-29T20:43:48.844+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:48.845+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-04-08 00:00:00
[2025-04-29T20:43:48.850+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:48.851+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-04-01 00:00:00
[2025-04-29T20:43:48.855+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:48.856+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-25 00:00:00
[2025-04-29T20:43:48.862+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:48.862+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-18 00:00:00
[2025-04-29T20:43:48.867+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:48.868+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-11 00:00:00
[2025-04-29T20:43:48.871+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:48.872+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-03-04 00:00:00
[2025-04-29T20:43:48.876+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:48.877+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-25 00:00:00
[2025-04-29T20:43:48.881+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:48.882+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-18 00:00:00
[2025-04-29T20:43:48.886+0000] {mongodb_client.py:77} INFO - News for NVIDIA on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:48.887+0000] {check_historical_news.py:35} INFO - Missing news for NVIDIA for week 2025-02-11 00:00:00
[2025-04-29T20:43:48.891+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:48.892+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-29 00:00:00
[2025-04-29T20:43:48.896+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:48.897+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-22 00:00:00
[2025-04-29T20:43:48.901+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:48.902+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-15 00:00:00
[2025-04-29T20:43:48.906+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:48.907+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-08 00:00:00
[2025-04-29T20:43:48.910+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:48.911+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-04-01 00:00:00
[2025-04-29T20:43:48.915+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:48.916+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-25 00:00:00
[2025-04-29T20:43:48.920+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:48.921+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-18 00:00:00
[2025-04-29T20:43:48.925+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:48.926+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-11 00:00:00
[2025-04-29T20:43:48.929+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:48.930+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-03-04 00:00:00
[2025-04-29T20:43:48.934+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:48.935+0000] {check_historical_news.py:35} INFO - Missing news for Meta for week 2025-02-25 00:00:00
[2025-04-29T20:43:48.940+0000] {mongodb_client.py:77} INFO - News for Meta on week 2025-02-18 00:00:00: missing
